shared_columns
SECEX
SECGA
SECGB
SECGRO
SECJMBR
SECJOB
SECNET
SECTOR
SECTRO03
SELF1
SELF2
SELF21
SELF22
SELF23
SELF24
SELF3
SELF4
SEX
SNGDEGB
SNGDEGN
SNGHD
SOLO2
SOLOLR
SOLOR
SOURCE_PERIOD
START
STAT2
STATLR
STATR
STUCUR
SUMHRS
SUPVIS
SUPVIS2
TEN1
THISQTR
THISWV
TIED
TOTAC1
TOTAC2
TOTHRS
TOTUS1
TOTUS2
TPBN1301
TPBN1302
TPBN1303
TPBN1304
TPBN1305
TPBN1306
TPBN1307
TPBN1308
TPBN1309
TPBN1310
TRNOPP11
TTACHR
TTUSHR
TYEMPS
TYPINT
TYPSCH12
UCREDIT
UNDEMP
UNDHRS
UNDST
UNDY981
UNDY982
UNDY983
UNDY984
UNDY985
UNDY986
UNDY987
UNDY988
UNDY989
UNEMBN1
UNEMBN2
UOTHR
USESLP
USGRS99
USNET99
USUGPAY
USUHR
USUNPAY
VARYHR
WAIT
WHYTMP6
WN2LFT11
WNLEFT11
WORTH
WRKING
WRKLNG1
WRKLNG2
WRKLNG3
WRKLNG4
WRKLNG5
WRKLNG6
WRKLNG7
XDISDDA20
Y2JOB
YLESS20
YMORE
YPAYL20
YPAYM
YPTJOB
YSTART
YTETJB
YVARY99
