PERSON_ID,SOURCE_PERIOD,YEAR,WEIGHT,AGE,SEX,LABOUR_STATUS,OUTCOME_STATUS,FULLTIME_PARTTIME,GROSS_WEEKLY_PAY,HOURLY_RATE,HOURPAY,HIGHEST_QUAL,HEALTH_LIMITATION,ETHNICITY,COUNTRY_NAME,COUNTRY_CODE,REGION_CODE,COMBINED_AUTHORITY,ITL2_CODE,ITL3_CODE
62.0,2019-2021,2021,0,51,1,1,2,1.0,462.0,80.0,9.43,2.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
63.0,2019-2021,2021,437,47,1,1,1,1.0,646.0,80.0,16.56,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
64.0,2019-2021,2021,348,50,2,1,1,1.0,415.0,10.75,9.65,58.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
65.0,2019-2021,2021,1170,23,2,1,1,1.0,500.0,,13.51,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
66.0,2019-2021,2021,379,77,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
67.0,2019-2021,2021,345,86,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
68.0,2019-2021,2019,664,54,2,1,1,2.0,160.0,8.5,8.0,45.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
69.0,2019-2021,2019,491,74,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
70.0,2019-2021,2019,0,71,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
71.0,2019-2021,2019,685,55,1,1,1,1.0,680.0,10.0,15.11,84.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
72.0,2019-2021,2019,565,63,2,1,1,1.0,788.0,,46.55,24.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
73.0,2019-2021,2019,780,46,1,1,1,1.0,,,,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
74.0,2019-2021,2019,0,44,2,1,2,1.0,646.0,,16.15,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
75.0,2019-2021,2020,403,29,2,1,1,2.0,211.0,,9.59,18.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
76.0,2019-2021,2020,0,34,1,1,2,1.0,,,,48.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
77.0,2019-2021,2020,0,3,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
78.0,2019-2021,2020,0,0,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
79.0,2019-2021,2020,147,72,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
